time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.814227918460823e-09,2.5678962351357484e-07,10.001551337258364,0.000264568633090434,6.283178461660778,0.0,4.842168944387367e-07,2.2250679751374155e-05,0.05170978768842199,0.01202404296706298,-0.0003432780359995558,0.0,421.59588817511286,421.5662353792442,420.4993848008904,421.5394527957134
0.12000000000000001,-2.756691253148019e-08,1.0681192819742044e-05,10.009272139869555,0.0005027787389426663,0.0002379393707530042,0.0,-1.5226081209276547e-05,0.00038831214179575334,0.20563431353953246,-0.021509218052582484,0.011714670092537243,0.0,452.7926804525567,453.76145938235265,455.4566860190052,452.76728478701295
0.18,-1.0267810648138052e-05,4.040002236143912e-05,10.028632798244585,6.282106672130032,0.0011456841385424354,0.0,-0.0004251425305886211,0.00043022170006667564,0.43965974086777,-0.03843913762577476,0.021206831129755643,0.0,476.9174638978584,477.64168313893816,478.5771392900098,477.2868646866588
0.23999999999999996,-6.366914837703019e-05,3.5942380597164335e-05,10.057598779001978,6.280015746797719,0.0022961096626410438,0.0,-0.0014762934688086146,-0.0007977093960776812,0.5258361165118779,-0.028493727403660338,0.014761802253959695,0.0,432.68185384190053,432.13896968884956,432.59257147180506,433.4285163533377
0.3,-0.00020877475373276726,-9.133908448204387e-05,10.09436955653273,6.278593393268142,0.0034014894297085263,0.0,-0.0034737515438657413,-0.0036199919074514425,0.6997647405523576,-0.01553144164845118,0.02489008137728313,0.0,460.2480730800136,461.0488000485249,458.98671708065615,460.0140751625961
0.36000000000000004,-0.0004813080118097981,-0.000391178648590903,10.136147487060335,6.2781490430161355,0.004714220779885814,0.0,-0.005732311567778322,-0.006430876699832981,0.6928364752534294,0.00524747152796206,0.015050251070410133,0.0,403.0957416914072,402.2057493661415,400.5282290196427,402.41338135068304
0.4200000000000001,-0.0009323886498514317,-0.0008859517022772161,10.181967420612988,6.278007755698685,0.005809181238213945,0.0,-0.009412025704049096,-0.010043256570947503,0.8344010748825519,-0.025374034094365644,0.023982276408901645,0.0,450.1578036944299,450.87983962647763,451.5437498960255,449.06705107303003
0.48000000000000015,-0.0016381324698708137,-0.0016154595932278545,10.237601013631304,6.27624742379291,0.007019974184757416,0.0,-0.014265347986076505,-0.014459353025177096,1.0199026657368826,-0.03876026269623911,0.01121807385979473,0.0,464.37126274425407,463.3690089760539,464.5932202463073,463.542361685232
0.5400000000000001,-0.002636612247750882,-0.0026296164504514222,10.30102074327871,6.273770191495457,0.008125455564031547,0.0,-0.01910699576593436,-0.019580577804638417,1.0940174138111136,-0.04689040016293637,0.02992184569497577,0.0,428.7902025888818,430.37598205529054,430.1286564956927,429.4386724896739
0.6000000000000002,-0.0040004157808461215,-0.004058075874666911,10.374546169081055,6.271105330030199,0.01069628120023669,0.0,-0.026635985947846802,-0.028376756878547023,1.356549944593599,-0.03987392689387596,0.06076483455109732,0.0,485.80147564090043,488.10916810739434,486.6979530958335,487.22180621824623
0.6600000000000003,-0.005869876796174736,-0.006059140029556591,10.4621294758895,6.268236988250118,0.013912675801096341,0.0,-0.036087990241169134,-0.03862117031643489,1.5626258503625965,-0.07257017360519215,0.03276230956933494,0.0,472.3315860194406,470.1688518097052,472.3742919763455,469.8448688901596
0.7200000000000003,-0.008355785730676732,-0.008729864655241004,10.560655971827407,6.263698115023008,0.016199365594687265,0.0,-0.0470096969554228,-0.050890586644590195,1.7213530307482556,-0.08264530130094906,0.047095558923685575,0.0,457.7068682687866,458.8467067182171,457.2808569252864,456.4732546505477
0.7800000000000004,-0.011519414880009174,-0.01220163898113763,10.66678146053993,6.258834969734819,0.019116303719362904,0.0,-0.058732999916235935,-0.06532895712838893,1.8160010565936997,-0.078044959337084,0.051493597803146794,0.0,438.0074753003419,438.3745463976785,438.006724174972,438.38369855481994
0.8400000000000004,-0.015452055279555984,-0.016643635009524767,10.778785203612138,6.253945303870367,0.02286374053068929,0.0,-0.0727073582252274,-0.08322118558454143,1.9172711706491854,-0.08947775028401979,0.07836111026877357,0.0,439.9424172054593,442.1639536569656,440.71769949863676,439.76626989302434
0.9000000000000005,-0.020300254580623716,-0.02225549733716614,10.896614053927982,6.2482796604542425,0.027607340480741982,0.0,-0.0893724741998325,-0.1043900940829796,2.010167100600725,-0.10682588968747739,0.08042155582536131,0.0,437.5446926722723,437.7212945283703,439.9098467265266,438.4631861839621
0.9600000000000005,-0.026261583355423165,-0.029276345613553727,11.020561411320944,6.241297952844839,0.03243610636269523,0.0,-0.10983328644734969,-0.13030514241487792,2.1211688767217627,-0.15375578286871427,0.08059486021139177,0.0,445.09351867771085,445.1129090595018,445.9173692782067,442.0534363545314
1.0200000000000005,-0.033706986802064194,-0.03821180225058736,11.15578652176063,6.232239149129988,0.03673817161428605,0.0,-0.13892424650928206,-0.16867409814841527,2.385743153056412,-0.14594369692067954,0.04059092128627043,0.0,491.98471372630445,489.0170499482196,490.9249629747697,491.48512878433553
1.0800000000000005,-0.04274913472023644,-0.04933036097062679,11.300239654178789,6.223216817301045,0.03890044260513825,0.0,-0.1626948598429656,-0.2027695714861418,2.4292098802933517,-0.16114114530619766,0.0248761054055527,0.0,426.0303115409468,424.6851835043865,424.70248451788126,423.37429627756416
